gene	logFC	logCPM	LR	PValue	FDR
fig|6666666.230262.peg.2924	0.500547077	10.05342074	29.59018426	5.34E-08	1.04E-06
fig|6666666.230262.peg.2197	0.999289783	5.870278096	29.53947699	5.48E-08	1.06E-06
fig|6666666.230262.peg.3335	0.754736874	7.206945096	29.46426688	5.70E-08	1.10E-06
fig|6666666.230262.peg.483	0.4949457	9.006106812	29.4474266	5.75E-08	1.10E-06
fig|6666666.230262.peg.238	0.499309503	9.009328051	29.36152869	6.01E-08	1.15E-06
fig|6666666.230262.peg.2378	1.047381124	5.487721228	29.33445963	6.09E-08	1.16E-06
fig|6666666.230262.peg.3620	0.719088445	12.91108208	29.18098381	6.59E-08	1.25E-06
fig|6666666.230262.peg.535	-0.745055159	12.22386549	29.11985192	6.80E-08	1.28E-06
fig|6666666.230262.peg.2162	0.925304077	6.018204224	29.10590238	6.85E-08	1.29E-06
fig|6666666.230262.peg.1849	1.05877455	5.535051472	29.07861268	6.95E-08	1.30E-06
fig|6666666.230262.peg.1540	0.984741265	5.791318082	28.77420043	8.13E-08	1.51E-06
fig|6666666.230262.peg.776	0.522963218	8.756984562	28.75861924	8.20E-08	1.52E-06
fig|6666666.230262.peg.1390	-1.027246697	6.31720015	28.60358299	8.88E-08	1.64E-06
fig|6666666.230262.peg.2236	0.547977135	9.223422952	28.4857929	9.44E-08	1.73E-06
fig|6666666.230262.peg.2514	-1.174346441	6.206115222	28.43377068	9.70E-08	1.77E-06
fig|6666666.230262.peg.316	0.488940436	10.44821922	28.31096236	1.03E-07	1.87E-06
fig|6666666.230262.peg.2932	0.496864686	9.894034554	28.31068514	1.03E-07	1.87E-06
fig|6666666.230262.peg.3399	0.879320985	7.005295423	28.30612599	1.04E-07	1.87E-06
fig|6666666.230262.peg.2967	-0.865409563	6.872258065	28.28203565	1.05E-07	1.88E-06
fig|6666666.230262.peg.3866	0.818572208	6.405069123	28.24398102	1.07E-07	1.91E-06
fig|6666666.230262.peg.95	0.46651411	9.916441459	28.2183296	1.08E-07	1.93E-06
